epoch;sub_000;sub_001;sub_002;sub_003
0;12.971048355102539;12.837581634521484;11.462632128948409;11.54791220859427
1;10.169281959533691;10.177495956420898;10.35941499798836;10.452020017015435
2;10.297307968139648;10.300509452819824;9.751855330213036;9.870723386813868
3;10.985219955444336;10.9586763381958;9.23277146294866;9.394738002732309
4;37.50789260864258;35.67164993286133;8.719246664365281;8.91470799554527
5;1473.270751953125;1356.7103271484375;8.196684331121586;8.403480390470348
6;89224.984375;81734.53125;7.693358595802617;7.8835439855957645
7;5635538.5;5158672.5;7.240416789659301;7.392410261883323
8;359528000.0;329010016.0;6.85009901207651;6.970375599401774
9;22991300608.0;21038237696.0;6.523635651353655;6.60286342685762
