epoch;sub_000;sub_001;sub_002;sub_003
0;11.31954696260757;11.268153324992323;11.328272344891655;11.356313960027887
1;10.284416663712692;10.23894649866517;10.237291834629273;10.304568408662528
2;9.727206025483314;9.669145693394535;9.624029250749453;9.744047466780444
3;9.244215964318354;9.181530028054619;9.100877482652056;9.27075942893596
4;8.755136964205114;8.702607995403234;8.575048899436808;8.793551672785716
5;8.24782635687581;8.215013051782247;8.032227818582212;8.296475887095974
6;7.744375439465893;7.731802450311583;7.500436935883307;7.794734948323973
7;7.276048509115452;7.277777726850183;7.017529688919767;7.3204412669116055
8;6.861913825607634;6.869581357726593;6.604525829903902;6.897114421483257
9;6.506428302550747;6.514497680054265;6.2626392403772115;6.5330133561327886
10;6.205321488331752;6.210936796118832;5.9823059965985586;6.224234836542134
11;5.950578830090498;5.9539963001570815;5.752387363664914;5.964095011097136
12;5.73520192102768;5.737302434172572;5.562272643963424;5.745180194508814
13;5.552732061743024;5.554244528932614;5.404001982434646;5.560306343248632
14;5.397858124513379;5.399369036793407;5.271129046512353;5.404081126405919
15;5.265385307304696;5.267730864137084;5.158579963154597;5.271486275519188
16;5.152125961453253;5.155235780181319;5.062816114584381;5.1583792811009825
17;5.054527396165025;5.058766593525853;4.980259608313047;5.061476027568827
18;4.970015863891789;4.975555366462667;4.9087291881777375;4.977889973095149
19;4.896513015021541;4.90314131341628;4.8465064462148755;4.905379652861896
20;4.832170754830905;4.840093549215858;4.791653895452316;4.842197512060379
21;4.775582838498318;4.784509579673137;4.743171981933548;4.78644276891192
22;4.7252682322058925;4.735426433462266;4.699852822705191;4.737147443735723
23;4.680675175870649;4.691619157494103;4.66096660279152;4.6932622702728395
24;4.640420553488727;4.652652606589454;4.62593435306856;4.6539432042403215
25;4.604309864302294;4.617392582353666;4.594196603601788;4.61839535688117
26;4.571658263557731;4.585495796140585;4.5651494325180515;4.5862691439733085
27;4.541824013446692;4.556569481225143;4.538496011779094;4.556989050825628
28;4.514664487261982;4.530091844976507;4.513929936995886;4.530169828611227
29;4.489673307629741;4.5058597634022055;4.491308798677553;4.505548911614131
