epoch;sub_000;sub_001;sub_002;sub_003
0;11.388082745948436;11.307694586854472;11.384343324990928;11.371069122990633
1;10.338064508366527;10.249088434399136;10.329332249397126;10.25553349768933
2;9.769954004689563;9.634022882190285;9.783372338923767;9.612720585329386
3;9.28561446431746;9.118519818515809;9.327045349073499;9.042508213510674
4;8.809868488080994;8.618793664662984;8.862927372037634;8.467403335454973
5;8.328539836372984;8.108790655423991;8.383871923821907;7.900353344200527
6;7.848805471031429;7.61355852188636;7.914348665845738;7.384096862753813
7;7.392263185085732;7.160277295424407;7.469137744577286;6.944118664985927
8;6.977280417650445;6.760884167382588;7.0574224692984755;6.578436959796749
9;6.614399727448381;6.41733214539356;6.687373005467805;6.276079113304493
10;6.303861579095001;6.125238590242608;6.363647731584245;6.024277377971287
11;6.040524625110789;5.8789769868134405;6.086414508058028;5.812362454417615
12;5.81785490511634;5.671912670486016;5.851644220269;5.632432181015218
13;5.629557570264757;5.497751707328989;5.653191182463028;5.478434281520651
14;5.46965717625224;5.3505008351440475;5.48546039560689;5.345403551012955
15;5.3332035052315465;5.225401751678983;5.343142150630885;5.230013210372002
16;5.2164225463610885;5.118755362751595;5.221757808103038;5.129238154597987
17;5.115930161922909;5.027122483978445;5.117739359798074;5.040890340044528
18;5.028964578680905;4.94796656734549;5.028081046251023;4.963277685430328
19;4.953199957873387;4.878901192235026;4.950220608877105;4.8946871789018145
20;4.886744881654852;4.818552909447575;4.882201938820239;4.833890279391522
21;4.82815001984766;4.76527085877345;4.822425451038854;4.779622938796486
22;4.776342470316289;4.71792204432799;4.769543614821202;4.731201586930915
23;4.730190585151326;4.6756585220778915;4.7225962061264495;4.687658320067272
24;4.688656510924205;4.637728402173575;4.68041695155102;4.648334895183105
25;4.651330338581094;4.603465647490212;4.642635072801578;4.612718418702327
26;4.61740568441456;4.572371162670772;4.60827938200271;4.580309556761483
27;4.5866059335733445;4.544000814223896;4.577120660713097;4.550618677499201
28;4.5584013596674975;4.517931225400882;4.548670639011688;4.523381344931649
29;4.532481732671539;4.494051698664569;4.522621130074134;4.498394849718594
