original_kg;sampling_method;relation_names_rho;directory;sampling_time;subgraph_size_range;subgraph_size_rel;subgraph_num;subgraph_triples_amount;triples_deviation;subgraph_entities_amount;entities_per_step;subgraph_relation_names_amount;subgraph_relation_names
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_000;10.549;(0.1, 0.7);0.702;0;60990;205;32675;500;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_001;10.776;(0.1, 0.7);0.704;1;61170;385;32587;500;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_002;10.833;(0.1, 0.7);0.706;2;61327;542;32738;500;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_003;11.031;(0.1, 0.7);0.71;3;61641;856;32746;500;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_004;11.057;(0.1, 0.7);0.717;4;62248;1463;32927;500;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_005;11.092;(0.1, 0.7);0.71;5;61621;836;32761;500;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_006;11.21;(0.1, 0.7);0.705;6;61242;457;32747;500;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_007;11.172;(0.1, 0.7);0.712;7;61804;1019;32828;500;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_008;11.443;(0.1, 0.7);0.718;8;62361;1576;33241;500;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_009;11.352;(0.1, 0.7);0.706;9;61278;493;32734;500;11;[]
