original_kg;sampling_method;relation_names_rho;directory;sampling_time;subgraph_size_range;subgraph_size_rel;subgraph_num;subgraph_triples_amount;triples_deviation;subgraph_entities_amount;entities_per_step;subgraph_relation_names_amount;subgraph_relation_names
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_000;10.573;(0.1, 0.7);0.701;0;60887;102;32711;40;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_001;10.76;(0.1, 0.7);0.701;1;60890;105;32491;40;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_002;10.782;(0.1, 0.7);0.7;2;60818;33;32531;40;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_003;10.994;(0.1, 0.7);0.701;3;60870;85;32686;40;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_004;11.158;(0.1, 0.7);0.702;4;60915;130;32684;40;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_005;11.474;(0.1, 0.7);0.702;5;60930;145;32686;40;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_006;11.078;(0.1, 0.7);0.701;6;60914;129;32625;40;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_007;11.311;(0.1, 0.7);0.702;7;60947;162;33031;40;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_008;11.385;(0.1, 0.7);0.7;8;60824;39;32708;40;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_009;11.528;(0.1, 0.7);0.7;9;60803;18;32607;40;11;[]
