original_kg;sampling_method;relation_names_rho;directory;sampling_time;subgraph_size_range;subgraph_size_rel;subgraph_num;subgraph_triples_amount;triples_deviation;subgraph_entities_amount;entities_per_step;subgraph_relation_names_amount;subgraph_relation_names
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_000;10.629;(0.1, 0.7);0.701;0;60864;79;32875;30;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_001;10.74;(0.1, 0.7);0.702;1;60937;152;32726;30;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_002;10.91;(0.1, 0.7);0.701;2;60867;82;32533;30;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_003;11.042;(0.1, 0.7);0.7;3;60818;33;32667;30;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_004;11.069;(0.1, 0.7);0.701;4;60852;67;32629;30;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_005;11.039;(0.1, 0.7);0.7;5;60826;41;32615;30;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_006;11.111;(0.1, 0.7);0.7;6;60823;38;32595;30;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_007;11.221;(0.1, 0.7);0.704;7;61155;370;32668;30;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_008;11.49;(0.1, 0.7);0.7;8;60822;37;32556;30;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_009;11.297;(0.1, 0.7);0.7;9;60805;20;32515;30;11;[]
