original_kg;sampling_method;relation_names_rho;directory;sampling_time;subgraph_size_range;subgraph_size_rel;subgraph_num;subgraph_triples_amount;triples_deviation;subgraph_entities_amount;entities_per_step;subgraph_relation_names_amount;subgraph_relation_names
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_000;11.622;(0.1, 0.7);0.7;0;60786;1;32584;4;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_001;12.094;(0.1, 0.7);0.7;1;60786;1;32692;4;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_002;11.873;(0.1, 0.7);0.7;2;60791;6;32410;4;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_003;12.377;(0.1, 0.7);0.7;3;60787;2;32634;4;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_004;12.355;(0.1, 0.7);0.7;4;60792;7;33020;4;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_005;12.239;(0.1, 0.7);0.702;5;60931;146;32498;4;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_006;12.269;(0.1, 0.7);0.7;6;60796;11;32496;4;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_007;12.299;(0.1, 0.7);0.7;7;60791;6;32527;4;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_008;12.62;(0.1, 0.7);0.7;8;60826;41;32463;4;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_009;12.48;(0.1, 0.7);0.7;9;60786;1;32550;4;11;[]
