original_kg;sampling_method;relation_names_rho;directory;sampling_time;subgraph_size_range;subgraph_size_rel;subgraph_num;subgraph_triples_amount;triples_deviation;subgraph_entities_amount;entities_per_step;subgraph_relation_names_amount;subgraph_relation_names
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_000;11.698;(0.1, 0.7);0.701;0;60866;81;32667;100;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_001;10.867;(0.1, 0.7);0.701;1;60862;77;32580;100;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_002;10.71;(0.1, 0.7);0.701;2;60891;106;32627;100;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_003;11.001;(0.1, 0.7);0.701;3;60843;58;32695;100;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_004;10.883;(0.1, 0.7);0.703;4;61009;224;32704;100;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_005;10.967;(0.1, 0.7);0.701;5;60834;49;32610;100;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_006;11.157;(0.1, 0.7);0.701;6;60849;64;32773;100;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_007;11.057;(0.1, 0.7);0.701;7;60887;102;32607;100;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_008;11.591;(0.1, 0.7);0.703;8;61014;229;32811;100;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_009;11.234;(0.1, 0.7);0.701;9;60830;45;32597;100;11;[]
