original_kg;sampling_method;relation_names_rho;directory;sampling_time;subgraph_size_range;subgraph_size_rel;subgraph_num;subgraph_triples_amount;triples_deviation;subgraph_entities_amount;entities_per_step;subgraph_relation_names_amount;subgraph_relation_names
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_000;10.547;(0.1, 0.7);0.703;0;61029;244;32761;150;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_001;10.625;(0.1, 0.7);0.703;1;61008;223;32721;150;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_002;10.797;(0.1, 0.7);0.703;2;61009;224;32609;150;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_003;11.109;(0.1, 0.7);0.702;3;60961;176;32707;150;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_004;10.991;(0.1, 0.7);0.705;4;61249;464;32683;150;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_005;10.904;(0.1, 0.7);0.706;5;61325;540;32842;150;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_006;11.047;(0.1, 0.7);0.703;6;61066;281;32585;150;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_007;11.077;(0.1, 0.7);0.705;7;61262;477;32605;150;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_008;11.296;(0.1, 0.7);0.702;8;60923;138;32749;150;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_009;11.248;(0.1, 0.7);0.701;9;60888;103;32467;150;11;[]
