original_kg;sampling_method;relation_names_rho;directory;sampling_time;subgraph_size_range;subgraph_size_rel;subgraph_num;subgraph_triples_amount;triples_deviation;subgraph_entities_amount;entities_per_step;subgraph_relation_names_amount;subgraph_relation_names
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_000;11.315;(0.1, 0.7);0.7;0;60789;4;32450;5;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_001;11.662;(0.1, 0.7);0.7;1;60795;10;32616;5;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_002;11.691;(0.1, 0.7);0.7;2;60797;12;32418;5;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_003;12.119;(0.1, 0.7);0.7;3;60805;20;32547;5;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_004;12.173;(0.1, 0.7);0.7;4;60790;5;32570;5;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_005;12.066;(0.1, 0.7);0.7;5;60812;27;32621;5;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_006;12.021;(0.1, 0.7);0.7;6;60786;1;32605;5;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_007;12.222;(0.1, 0.7);0.7;7;60786;1;32829;5;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_008;12.502;(0.1, 0.7);0.7;8;60809;24;32695;5;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_009;12.339;(0.1, 0.7);0.7;9;60790;5;32486;5;11;[]
