original_kg;sampling_method;relation_names_rho;directory;sampling_time;subgraph_size_range;subgraph_size_rel;subgraph_num;subgraph_triples_amount;triples_deviation;subgraph_entities_amount;entities_per_step;subgraph_relation_names_amount;subgraph_relation_names
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_000;10.998;(0.1, 0.7);0.7;0;60818;33;32670;12;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_001;11.177;(0.1, 0.7);0.7;1;60820;35;32593;12;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_002;11.138;(0.1, 0.7);0.7;2;60787;2;32807;12;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_003;11.253;(0.1, 0.7);0.7;3;60786;1;32525;12;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_004;11.406;(0.1, 0.7);0.7;4;60813;28;32484;12;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_005;11.457;(0.1, 0.7);0.7;5;60803;18;32570;12;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_006;11.454;(0.1, 0.7);0.7;6;60807;22;32494;12;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_007;12.685;(0.1, 0.7);0.7;7;60803;18;32678;12;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_008;11.659;(0.1, 0.7);0.7;8;60827;42;32634;12;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_009;11.651;(0.1, 0.7);0.7;9;60825;40;32471;12;11;[]
