original_kg;sampling_method;relation_names_rho;directory;sampling_time;subgraph_size_range;subgraph_size_rel;subgraph_num;subgraph_triples_amount;triples_deviation;subgraph_entities_amount;entities_per_step;subgraph_relation_names_amount;subgraph_relation_names
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_000;11.086;(0.1, 0.7);0.7;0;60799;14;32656;8;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_001;11.27;(0.1, 0.7);0.7;1;60787;2;32698;8;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_002;11.243;(0.1, 0.7);0.7;2;60812;27;32700;8;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_003;11.653;(0.1, 0.7);0.7;3;60786;1;32621;8;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_004;11.646;(0.1, 0.7);0.7;4;60805;20;32557;8;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_005;11.555;(0.1, 0.7);0.702;5;60986;201;32727;8;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_006;11.548;(0.1, 0.7);0.7;6;60798;13;32458;8;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_007;11.657;(0.1, 0.7);0.7;7;60788;3;32564;8;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_008;11.845;(0.1, 0.7);0.7;8;60795;10;32649;8;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_009;12.037;(0.1, 0.7);0.7;9;60789;4;32748;8;11;[]
