original_kg;sampling_method;relation_names_rho;directory;sampling_time;subgraph_size_range;subgraph_size_rel;subgraph_num;subgraph_triples_amount;triples_deviation;subgraph_entities_amount;entities_per_step;subgraph_relation_names_amount;subgraph_relation_names
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_000;10.538;(0.1, 0.7);0.704;0;61123;338;32886;90;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_001;10.741;(0.1, 0.7);0.703;1;61054;269;32658;90;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_002;10.772;(0.1, 0.7);0.701;2;60908;123;32630;90;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_003;11.048;(0.1, 0.7);0.703;3;61053;268;32718;90;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_004;10.931;(0.1, 0.7);0.702;4;60953;168;32722;90;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_005;10.955;(0.1, 0.7);0.702;5;60995;210;32714;90;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_006;11.025;(0.1, 0.7);0.701;6;60883;98;32450;90;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_007;11.16;(0.1, 0.7);0.7;7;60820;35;32812;90;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_008;11.338;(0.1, 0.7);0.703;8;61005;220;32741;90;11;[]
WN18RR;Entity sampling;11;data\WN18RR_Entity_sampling_N10_min0.1\sub_009;11.145;(0.1, 0.7);0.7;9;60827;42;32428;90;11;[]
